state	party	last_name	first_name	full_name	screen_name	senate_rank	senate_class		state_population	state_population_voters	name	followers_count	friends_count	listed_count	twitter_join_date	twitter_age	favourites_count	statuses_count	profile_background_color	profile_image_url	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color
IN	Republican	Young	Todd	Todd Young	SenToddYoung	senior	3		6385820	4824555	Senator Todd Young	48930	506	1558	2011-01-04	8	195	5492	00346F	http://pbs.twimg.com/profile_images/839534166727360514/sm9KrCLP_normal.jpg	https://pbs.twimg.com/profile_banners/234128524/1555085359	1D69A7	1D69A7	EAEAEA	333333
KS	Republican	Moran	Jerry	Jerry Moran	JerryMoran	junior	3		2771385	2061775	Senator Jerry Moran	99619	3007	2242	2009-01-05	10	1081	5787	0F3254	http://pbs.twimg.com/profile_images/834123788153397248/8XI1dcQL_normal.jpg	https://pbs.twimg.com/profile_banners/18632666/1509573111	55ACEE	FFFFFF	F2F2F2	545454
KS	Republican	Roberts	Pat	Pat Roberts	SenPatRoberts	senior	2		2771385	2061775	Senator Pat Roberts	75409	915	2039	2009-09-18	10	352	6661	22330	http://pbs.twimg.com/profile_images/981951337536671744/8z6P2Eck_normal.jpg	https://pbs.twimg.com/profile_banners/75364211/1436984767	8D1616	CBCAC0	E7E6DB	333333
KY	Republican	McConnell	Mitch	Mitch McConnell	senatemajldr	senior	2		4314920	3313805	Leader McConnell	1110592	104	4857	2013-03-07	6	94	3809	0066CC	http://pbs.twimg.com/profile_images/732596482336002049/JYMrr9_4_normal.jpg	https://pbs.twimg.com/profile_banners/1249982359/1563547854	AD0000	0	0	0
KY	Republican	Paul	Rand	Rand Paul	RandPaul	junior	3		4314920	3313805	Senator Rand Paul	2573503	492	12908	2010-11-17	9	857	13299	22330	http://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg	https://pbs.twimg.com/profile_banners/216881337/1508431224	0084B4	A8C7F7	C0DFEC	333333
LA	Republican	Cassidy	Bill	Bill Cassidy	SenBillCassidy	senior	2		4535710	3432040	U.S. Senator Bill Cassidy, M.D.	13710	1086	340	2018-07-12	1	198	1571	F5F8FA	http://pbs.twimg.com/profile_images/1017836622145040386/DcP_lQSc_normal.jpg	https://pbs.twimg.com/profile_banners/1017500185356853248/1547826031	1DA1F2	C0DEED	DDEEF6	333333
LA	Republican	Kennedy	John	John Kennedy	SenJohnKennedy	junior	3		4535710	3432040	John Kennedy	82937	1335	1091	2017-01-04	2	709	1849	F5F8FA	http://pbs.twimg.com/profile_images/831592195320840192/GXfc24bb_normal.jpg	https://pbs.twimg.com/profile_banners/816683274076614656/1567188858	1DA1F2	C0DEED	DDEEF6	333333
MA	Democrat	Markey	Edward	Edward J. Markey	SenMarkey	junior	2		6234915	4887325	Ed Markey	164844	1374	3359	2009-02-20	10	352	14859	FFFFFF	http://pbs.twimg.com/profile_images/1181319893162967040/ZpAIvuyu_normal.jpg	https://pbs.twimg.com/profile_banners/21406834/1549578517	62232	F55600	B8FDB5	333333
MA	Democrat	Warren	Elizabeth	Elizabeth Warren	SenWarren	senior	1		6234915	4887325	Elizabeth Warren	5488909	493	17188	2012-11-25	6	11	4816	C0DEED	http://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg	https://pbs.twimg.com/profile_banners/970207298/1565529691	1DA1F2	C0DEED	DDEEF6	333333
MD	Democrat	Cardin	Benjamin	Benjamin L. Cardin	SenatorCardin	senior	1		5517145	4212265	Senator Ben Cardin	247512	2847	3124	2010-01-27	9	2033	10806	131516	http://pbs.twimg.com/profile_images/1138098556747866113/mfGRdxbk_normal.jpg	https://pbs.twimg.com/profile_banners/109071031/1559931855	3B94D9	FFFFFF	EFEFEF	333333
MD	Democrat	Van Hollen	Chris	Chris Van Hollen	ChrisVanHollen	junior	3		5517145	4212265	Chris Van Hollen	166145	631	2408	2008-12-15	10	600	4867	C0DEED	http://pbs.twimg.com/profile_images/943708990449618944/0XSZE4Et_normal.jpg	https://pbs.twimg.com/profile_banners/18137749/1520622201	1DA1F2	C0DEED	DDEEF6	333333
ME	Republican	Collins	Susan	Susan M. Collins	SenatorCollins	senior	2		1308385	1051870	Sen. Susan Collins	513913	971	4439	2009-01-29	10	74	3235	FFFFFF	http://pbs.twimg.com/profile_images/588697537013383168/Kf_x_1u1_normal.jpg	https://pbs.twimg.com/profile_banners/19726613/1526569711	516C87	FFFFFF	C7D9ED	192F45
ME	Independent	King	Angus	Angus S. King, Jr.	SenAngusKing	junior	1		1308385	1051870	Senator Angus King	212244	551	2068	2013-01-07	6	146	4374	045C0E	http://pbs.twimg.com/profile_images/378800000406004520/c5e846a94969202654cf1ac5fafc3659_normal.jpeg	https://pbs.twimg.com/profile_banners/1068481578/1489679522	0084B4	0	DDEEF6	333333
MI	Democrat	Peters	Gary	Gary C. Peters	SenGaryPeters	junior	2		9601980	7408630	Senator Gary Peters	112873	1215	1668	2011-01-10	8	271	6324	EBEDF5	http://pbs.twimg.com/profile_images/921025087251386369/11o7UGiT_normal.jpg	https://pbs.twimg.com/profile_banners/236511574/1565323407	00638A	3E80B3	65ABE0	0
MI	Democrat	Stabenow	Debbie	Debbie Stabenow	SenStabenow	senior	1		9601980	7408630	Sen. Debbie Stabenow	109574	2286	2320	2009-09-22	10	112	4593	C0DEED	http://pbs.twimg.com/profile_images/1141009382374854656/klk7j3OL_normal.jpg	https://pbs.twimg.com/profile_banners/76456274/1464728308	0084B4	C0DEED	DDEEF6	333333
MN	Democrat	Klobuchar	Amy	Amy Klobuchar	SenAmyKlobuchar	senior	1		5234815	3980465	Senator Amy Klobuchar	34337	5264	815	2009-02-26	10	29	568	C0DEED	http://pbs.twimg.com/profile_images/1101241156250320901/OtZoBAiQ_normal.png	https://pbs.twimg.com/profile_banners/22044727/1554302805	1DA1F2	C0DEED	DDEEF6	333333
MN	Democrat	Smith	Tina	Tina Smith	SenTinaSmith	junior	2		5234815	3980465	Senator Tina Smith	43270	1813	752	2017-12-13	1	515	2812	0	http://pbs.twimg.com/profile_images/1143580715700953088/l50Ay7X4_normal.png		4653A2	0	0	0
MO	Republican	Blunt	Roy	Roy Blunt	RoyBlunt	senior	3		5930025	4547880	Senator Roy Blunt	110373	6948	3539	2009-02-19	10	136	12175	C0DEED	http://pbs.twimg.com/profile_images/535810548802125824/X0pxn3zA_normal.jpeg	https://pbs.twimg.com/profile_banners/21269970/1407953971	0084B4	C0DEED	DDEEF6	333333
MO	Republican	Hawley	Joshua	Hawley	SenHawleyPress	junior	1		5930025	4547880	Senator Hawley Press Office	9454	762	172	2019-01-03	0	368	886	F5F8FA	http://pbs.twimg.com/profile_images/1080961109262094336/4fewBIAi_normal.jpg	https://pbs.twimg.com/profile_banners/1080960924687704064/1565014200	1DA1F2	C0DEED	DDEEF6	333333
